gvkey,iid,datadate,tic,conm,trt1m
160329,01,2004/08/31,GOOGL,ALPHABET INC,
160329,01,2004/09/30,GOOGL,ALPHABET INC,26.5996
160329,01,2004/10/31,GOOGL,ALPHABET INC,47.0988
160329,01,2004/11/30,GOOGL,ALPHABET INC,-4.5426
160329,01,2004/12/31,GOOGL,ALPHABET INC,5.9402
160329,01,2005/01/31,GOOGL,ALPHABET INC,1.4679
160329,01,2005/02/28,GOOGL,ALPHABET INC,-3.9004
160329,01,2005/03/31,GOOGL,ALPHABET INC,-3.9789
160329,01,2005/04/30,GOOGL,ALPHABET INC,21.8769
160329,01,2005/05/31,GOOGL,ALPHABET INC,26.0318
160329,01,2005/06/30,GOOGL,ALPHABET INC,6.0879
160329,01,2005/07/31,GOOGL,ALPHABET INC,-2.1724
160329,01,2005/08/31,GOOGL,ALPHABET INC,-0.6116
160329,01,2005/09/30,GOOGL,ALPHABET INC,10.6503
160329,01,2005/10/31,GOOGL,ALPHABET INC,17.5946
160329,01,2005/11/30,GOOGL,ALPHABET INC,8.8065
160329,01,2005/12/31,GOOGL,ALPHABET INC,2.4567
160329,01,2006/01/31,GOOGL,ALPHABET INC,4.2906
160329,01,2006/02/28,GOOGL,ALPHABET INC,-16.1883
160329,01,2006/03/31,GOOGL,ALPHABET INC,7.5506
160329,01,2006/04/30,GOOGL,ALPHABET INC,7.1641
160329,01,2006/05/31,GOOGL,ALPHABET INC,-11.0351
160329,01,2006/06/30,GOOGL,ALPHABET INC,12.7777
160329,01,2006/07/31,GOOGL,ALPHABET INC,-7.8053
160329,01,2006/08/31,GOOGL,ALPHABET INC,-2.0874
160329,01,2006/09/30,GOOGL,ALPHABET INC,6.1739
160329,01,2006/10/31,GOOGL,ALPHABET INC,18.5345
160329,01,2006/11/30,GOOGL,ALPHABET INC,1.7675
160329,01,2006/12/31,GOOGL,ALPHABET INC,-5.0185
160329,01,2007/01/31,GOOGL,ALPHABET INC,8.9081
160329,01,2007/02/28,GOOGL,ALPHABET INC,-10.3789
160329,01,2007/03/31,GOOGL,ALPHABET INC,1.9379
160329,01,2007/04/30,GOOGL,ALPHABET INC,2.8855
160329,01,2007/05/31,GOOGL,ALPHABET INC,5.6279
160329,01,2007/06/30,GOOGL,ALPHABET INC,4.9790
160329,01,2007/07/31,GOOGL,ALPHABET INC,-2.4297
160329,01,2007/08/31,GOOGL,ALPHABET INC,1.0294
160329,01,2007/09/30,GOOGL,ALPHABET INC,10.0961
160329,01,2007/10/31,GOOGL,ALPHABET INC,24.6320
160329,01,2007/11/30,GOOGL,ALPHABET INC,-1.9802
160329,01,2007/12/31,GOOGL,ALPHABET INC,-0.2193
160329,01,2008/01/31,GOOGL,ALPHABET INC,-18.3924
160329,01,2008/02/29,GOOGL,ALPHABET INC,-16.5019
160329,01,2008/03/31,GOOGL,ALPHABET INC,-6.5177
160329,01,2008/04/30,GOOGL,ALPHABET INC,30.3812
160329,01,2008/05/31,GOOGL,ALPHABET INC,2.0042
160329,01,2008/06/30,GOOGL,ALPHABET INC,-10.1366
160329,01,2008/07/31,GOOGL,ALPHABET INC,-10.0053
160329,01,2008/08/31,GOOGL,ALPHABET INC,-2.2079
160329,01,2008/09/30,GOOGL,ALPHABET INC,-13.5487
160329,01,2008/10/31,GOOGL,ALPHABET INC,-10.2766
160329,01,2008/11/30,GOOGL,ALPHABET INC,-18.4773
160329,01,2008/12/31,GOOGL,ALPHABET INC,5.0143
160329,01,2009/01/31,GOOGL,ALPHABET INC,10.0374
160329,01,2009/02/28,GOOGL,ALPHABET INC,-0.1595
160329,01,2009/03/31,GOOGL,ALPHABET INC,2.9794
160329,01,2009/04/30,GOOGL,ALPHABET INC,13.7649
160329,01,2009/05/31,GOOGL,ALPHABET INC,5.3691
160329,01,2009/06/30,GOOGL,ALPHABET INC,1.0450
160329,01,2009/07/31,GOOGL,ALPHABET INC,5.0903
160329,01,2009/08/31,GOOGL,ALPHABET INC,4.2027
160329,01,2009/09/30,GOOGL,ALPHABET INC,7.4036
160329,01,2009/10/31,GOOGL,ALPHABET INC,8.1214
160329,01,2009/11/30,GOOGL,ALPHABET INC,8.7443
160329,01,2009/12/31,GOOGL,ALPHABET INC,6.3431
160329,01,2010/01/31,GOOGL,ALPHABET INC,-14.5224
160329,01,2010/02/28,GOOGL,ALPHABET INC,-0.5933
160329,01,2010/03/31,GOOGL,ALPHABET INC,7.6538
160329,01,2010/04/30,GOOGL,ALPHABET INC,-7.3045
160329,01,2010/05/31,GOOGL,ALPHABET INC,-7.6213
160329,01,2010/06/30,GOOGL,ALPHABET INC,-8.3767
160329,01,2010/07/31,GOOGL,ALPHABET INC,8.9673
160329,01,2010/08/31,GOOGL,ALPHABET INC,-7.1837
160329,01,2010/09/30,GOOGL,ALPHABET INC,16.8370
160329,01,2010/10/31,GOOGL,ALPHABET INC,16.7196
160329,01,2010/11/30,GOOGL,ALPHABET INC,-9.4492
160329,01,2010/12/31,GOOGL,ALPHABET INC,6.8849
160329,01,2011/01/31,GOOGL,ALPHABET INC,1.0758
160329,01,2011/02/28,GOOGL,ALPHABET INC,2.1720
160329,01,2011/03/31,GOOGL,ALPHABET INC,-4.3430
160329,01,2011/04/30,GOOGL,ALPHABET INC,-7.2704
160329,01,2011/05/31,GOOGL,ALPHABET INC,-2.7715
160329,01,2011/06/30,GOOGL,ALPHABET INC,-4.2796
160329,01,2011/07/31,GOOGL,ALPHABET INC,19.2168
160329,01,2011/08/31,GOOGL,ALPHABET INC,-10.3911
160329,01,2011/09/30,GOOGL,ALPHABET INC,-4.7915
160329,01,2011/10/31,GOOGL,ALPHABET INC,15.0668
160329,01,2011/11/30,GOOGL,ALPHABET INC,1.1390
160329,01,2011/12/31,GOOGL,ALPHABET INC,7.7596
160329,01,2012/01/31,GOOGL,ALPHABET INC,-10.1858
160329,01,2012/02/29,GOOGL,ALPHABET INC,6.5746
160329,01,2012/03/31,GOOGL,ALPHABET INC,3.7186
160329,01,2012/04/30,GOOGL,ALPHABET INC,-5.6749
160329,01,2012/05/31,GOOGL,ALPHABET INC,-3.9663
160329,01,2012/06/30,GOOGL,ALPHABET INC,-0.1360
160329,01,2012/07/31,GOOGL,ALPHABET INC,9.1196
160329,01,2012/08/31,GOOGL,ALPHABET INC,8.2342
160329,01,2012/09/30,GOOGL,ALPHABET INC,10.1315
160329,01,2012/10/31,GOOGL,ALPHABET INC,-9.8346
160329,01,2012/11/30,GOOGL,ALPHABET INC,2.6565
160329,01,2012/12/31,GOOGL,ALPHABET INC,1.2901
160329,01,2013/01/31,GOOGL,ALPHABET INC,6.8294
160329,01,2013/02/28,GOOGL,ALPHABET INC,6.0223
160329,01,2013/03/31,GOOGL,ALPHABET INC,-0.8752
160329,01,2013/04/30,GOOGL,ALPHABET INC,3.8255
160329,01,2013/05/31,GOOGL,ALPHABET INC,5.6573
160329,01,2013/06/30,GOOGL,ALPHABET INC,1.0505
160329,01,2013/07/31,GOOGL,ALPHABET INC,0.8383
160329,01,2013/08/31,GOOGL,ALPHABET INC,-4.6015
160329,01,2013/09/30,GOOGL,ALPHABET INC,3.4254
160329,01,2013/10/31,GOOGL,ALPHABET INC,17.6582
160329,01,2013/11/30,GOOGL,ALPHABET INC,2.8149
160329,01,2013/12/31,GOOGL,ALPHABET INC,5.7683
160329,01,2014/01/31,GOOGL,ALPHABET INC,5.3769
160329,01,2014/02/28,GOOGL,ALPHABET INC,2.9366
160329,01,2014/03/31,GOOGL,ALPHABET INC,-8.3198
160329,01,2014/04/30,GOOGL,ALPHABET INC,-0.8775
160329,01,2014/05/31,GOOGL,ALPHABET INC,6.8744
160329,01,2014/06/30,GOOGL,ALPHABET INC,2.2776
160329,01,2014/07/31,GOOGL,ALPHABET INC,-0.8757
160329,01,2014/08/31,GOOGL,ALPHABET INC,0.4849
160329,01,2014/09/30,GOOGL,ALPHABET INC,1.0389
160329,01,2014/10/31,GOOGL,ALPHABET INC,-3.4908
160329,01,2014/11/30,GOOGL,ALPHABET INC,-3.3089
160329,01,2014/12/31,GOOGL,ALPHABET INC,-3.3547
160329,01,2015/01/31,GOOGL,ALPHABET INC,1.2984
160329,01,2015/02/28,GOOGL,ALPHABET INC,4.6656
160329,01,2015/03/31,GOOGL,ALPHABET INC,-1.4095
160329,01,2015/04/30,GOOGL,ALPHABET INC,-1.0690
160329,01,2015/05/31,GOOGL,ALPHABET INC,-0.6287
160329,01,2015/06/30,GOOGL,ALPHABET INC,-0.9682
160329,01,2015/07/31,GOOGL,ALPHABET INC,21.7502
160329,01,2015/08/31,GOOGL,ALPHABET INC,-1.4722
160329,01,2015/09/30,GOOGL,ALPHABET INC,-1.4587
160329,01,2015/10/31,GOOGL,ALPHABET INC,15.5114
160329,01,2015/11/30,GOOGL,ALPHABET INC,3.4527
160329,01,2015/12/31,GOOGL,ALPHABET INC,1.9873
160329,01,2016/01/31,GOOGL,ALPHABET INC,-2.1414
160329,01,2016/02/29,GOOGL,ALPHABET INC,-5.7963
160329,01,2016/03/31,GOOGL,ALPHABET INC,6.3690
160329,01,2016/04/30,GOOGL,ALPHABET INC,-7.2120
160329,01,2016/05/31,GOOGL,ALPHABET INC,5.7877
160329,01,2016/06/30,GOOGL,ALPHABET INC,-6.0519
160329,01,2016/07/31,GOOGL,ALPHABET INC,12.4813
160329,01,2016/08/31,GOOGL,ALPHABET INC,-0.1883
160329,01,2016/09/30,GOOGL,ALPHABET INC,1.7991
160329,01,2016/10/31,GOOGL,ALPHABET INC,0.7263
160329,01,2016/11/30,GOOGL,ALPHABET INC,-4.2005
160329,01,2016/12/31,GOOGL,ALPHABET INC,2.1356
160329,03,2014/03/31,GOOG,ALPHABET INC,
160329,03,2014/04/30,GOOG,ALPHABET INC,-5.4419
160329,03,2014/05/31,GOOG,ALPHABET INC,6.3096
160329,03,2014/06/30,GOOG,ALPHABET INC,2.7488
160329,03,2014/07/31,GOOG,ALPHABET INC,-0.6397
160329,03,2014/08/31,GOOG,ALPHABET INC,0.0000
160329,03,2014/09/30,GOOG,ALPHABET INC,1.0077
160329,03,2014/10/31,GOOG,ALPHABET INC,-3.1661
160329,03,2014/11/30,GOOG,ALPHABET INC,-3.0854
160329,03,2014/12/31,GOOG,ALPHABET INC,-2.8478
160329,03,2015/01/31,GOOG,ALPHABET INC,1.5426
160329,03,2015/02/28,GOOG,ALPHABET INC,4.4676
160329,03,2015/03/31,GOOG,ALPHABET INC,-1.8625
160329,03,2015/04/30,GOOG,ALPHABET INC,-1.6760
160329,03,2015/05/31,GOOG,ALPHABET INC,-0.9733
160329,03,2015/06/30,GOOG,ALPHABET INC,-2.1800
160329,03,2015/07/31,GOOG,ALPHABET INC,20.1917
160329,03,2015/08/31,GOOG,ALPHABET INC,-1.1765
160329,03,2015/09/30,GOOG,ALPHABET INC,-1.5900
160329,03,2015/10/31,GOOG,ALPHABET INC,16.8288
160329,03,2015/11/30,GOOG,ALPHABET INC,4.4724
160329,03,2015/12/31,GOOG,ALPHABET INC,2.1923
160329,03,2016/01/31,GOOG,ALPHABET INC,-2.0991
160329,03,2016/02/29,GOOG,ALPHABET INC,-6.0812
160329,03,2016/03/31,GOOG,ALPHABET INC,6.7615
160329,03,2016/04/30,GOOG,ALPHABET INC,-6.9723
160329,03,2016/05/31,GOOG,ALPHABET INC,6.1630
160329,03,2016/06/30,GOOG,ALPHABET INC,-5.9289
160329,03,2016/07/31,GOOG,ALPHABET INC,11.0808
160329,03,2016/08/31,GOOG,ALPHABET INC,-0.2263
160329,03,2016/09/30,GOOG,ALPHABET INC,1.3350
160329,03,2016/10/31,GOOG,ALPHABET INC,0.9327
160329,03,2016/11/30,GOOG,ALPHABET INC,-3.3778
160329,03,2016/12/31,GOOG,ALPHABET INC,1.8178
